feature,coefficient
cat__discharge_category_Transfer/SNF,0.8039525811086444
cat__admission_source_id_5.0,-0.6790704467138015
cat__admission_source_id_3.0,0.5089217194188554
cat__diag_2_group_Diabetes,0.4075316073841394
cat__discharge_category_Other,0.3872929715137591
cat__diag_3_group_Diabetes,0.3579948119061162
cat__diag_1_group_Musculoskeletal,-0.34464055241343516
cat__diag_1_group_Respiratory,-0.3216369370313412
cat__admission_source_id_2.0,-0.31264619095583784
cat__diag_2_group_Missing,-0.28446245233146583
bin__has_diabetes_diag,-0.2840223835249986
cat__diag_1_group_Diabetes,0.26858874746159594
cat__discharge_category_Home Health,0.26578567360063343
cat__medical_specialty_grouped_Family/GeneralPractice,0.2568067419811403
cat__diag_2_group_Neoplasms,0.25614624336431907
cat__medical_specialty_grouped_Surgery-General,0.24181202062627288
cat__admission_source_id_9.0,0.23826641602332846
bin__diabetesMed_binary,0.22959378649968834
cat__medical_specialty_grouped_InternalMedicine,0.22812959993319398
cat__race_Unknown,-0.2246505446318931
cat__diag_3_group_Digestive,0.2208286318075472
cat__diag_1_group_Neoplasms,-0.21963554681848155
cat__diag_1_group_Digestive,-0.1809538043765509
cat__admission_source_id_4.0,-0.1798904044018313
num__number_inpatient,0.17891985665514273
cat__diag_1_group_Other,-0.17728968315978427
cat__diag_3_group_Missing,-0.17728663159428637
cat__medical_specialty_grouped_Unknown,0.1707093296942743
cat__diag_1_group_Missing,0.17033113195827604
cat__diag_2_group_Injury,0.15638546792452995
cat__diag_1_group_Injury,-0.155534873865002
cat__diag_1_group_Genitourinary,-0.1483619759174741
cat__diag_2_group_Respiratory,-0.1422486614614699
cat__medical_specialty_grouped_Other,0.14069480841102627
cat__diag_2_group_Genitourinary,-0.13637528884056935
cat__admission_source_id_17.0,-0.12808400589173727
bin__a1c_tested,-0.11314665510212217
cat__admission_source_id_6.0,-0.10241000796051099
cat__admission_source_id_10.0,-0.09030031801410562
cat__race_Hispanic,-0.08783525558124636
cat__diag_3_group_Injury,0.0850477661639985
cat__admission_source_id_22.0,-0.08451174922092833
bin__glu_abnormal,0.08322624547871985
cat__diag_2_group_Musculoskeletal,-0.07805853444638793
cat__race_Asian,-0.07707853981546034
cat__admission_source_id_7.0,-0.07268849773882877
num__elixhauser_score,0.07224364349860071
num__number_diagnoses,0.070002505611431
cat__diag_3_group_Respiratory,0.06919221066545508
num__number_emergency,0.06520766242968346
cat__diag_3_group_Musculoskeletal,-0.06500152909131039
num__time_in_hospital,0.0638868883054295
num__age_midpoint,0.06290896339359585
cat__admission_source_id_20.0,0.06279631710225526
cat__diag_3_group_Genitourinary,-0.06085426986092364
cat__admission_category_Urgent,0.060238089119200235
cat__gender_Unknown/Invalid,-0.05663096939783264
num__total_prior_visits,0.05653116193010309
num__number_outpatient,-0.054505386720110315
cat__diag_3_group_Neoplasms,0.05296921628610789
cat__admission_source_id_8.0,0.04920523910654514
cat__diag_3_group_Other,-0.04726933357384792
bin__glu_tested,0.04346548249844179
cat__admission_category_Emergency,0.041277865553898924
cat__diag_2_group_Digestive,0.04006525004602133
num__polypharmacy_score,0.03682819139459144
num__num_lab_procedures,0.03598750639059337
cat__medical_specialty_grouped_Emergency/Trauma,0.03394911354934129
num__num_active_medications,-0.03375430768434858
bin__a1c_abnormal,-0.03291067760831626
cat__gender_Male,0.029034186316471693
cat__race_Caucasian,-0.02893376141224019
cat__admission_category_Other,0.02585303390436359
cat__race_Other,-0.01965172202099135
cat__admission_source_id_13.0,-0.019255274701753686
cat__admission_source_id_14.0,-0.01793970289776042
cat__admission_source_id_11.0,-0.014453996700215736
bin__high_utilizer_flag,0.013553504820984651
bin__change_binary,0.008117616142956722
num__num_medications,0.006584122453024288
num__insulin_intensity,-0.005328827979565979
num__num_procedures,-0.0048701096650111
cat__diag_2_group_Other,0.001144099191654807
